Forecast_Date,Projected_Quantity
2026-07-01,64.23077490387863
2026-07-02,66.20035124241186
2026-07-03,77.15331488578167
2026-07-04,80.87647161062031
2026-07-05,81.16114555361776
2026-07-06,65.59736160735072
2026-07-07,64.31441531665577
2026-07-08,63.942960095467946
2026-07-09,65.91253643400118
2026-07-10,76.86550007737101
2026-07-11,80.58865680220964
2026-07-12,80.87333074520708
2026-07-13,65.30954679894005
2026-07-14,64.02660050824511
2026-07-15,63.65514528705727
2026-07-16,65.62472162559051
2026-07-17,76.57768526896034
2026-07-18,80.30084199379897
2026-07-19,80.58551593679641
2026-07-20,65.02173199052937
2026-07-21,63.73878569983444
2026-07-22,63.367330478646615
2026-07-23,65.33690681717984
2026-07-24,76.28987046054966
2026-07-25,80.0130271853883
2026-07-26,80.29770112838575
2026-07-27,64.7339171821187
2026-07-28,63.450970891423765
2026-07-29,63.07951567023594
2026-07-30,65.04909200876918
